elapsed,transform.translation.x,transform.translation.y,transform.translation.z
59.565669252,1.8339872744,-1.12917671393,0.105000559204
59.76407174,1.8339872744,-1.12917671393,0.105000559204
59.964907427,1.8339872744,-1.12917671393,0.105000559204
60.164076743,1.8339872744,-1.12917671393,0.105000559204
60.364802621,1.8339872744,-1.12917671393,0.105000559204
60.564444664,1.8339872744,-1.12917671393,0.105000559204
60.763902275,1.8339872744,-1.12917671393,0.105000559204
60.964527424,1.8339872744,-1.12917671393,0.105000559204
61.164589989,1.8339872744,-1.12917671393,0.105000559204
61.363943,1.8339872744,-1.12917671393,0.105000559204
